▶ skipping venv without pytest: /c/Users/given/hermes-audit/hermes-agent/.venv
▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
▶ pre-compiling bytecode cache
▶ launching test runner
Discovered 3152 test files (~31960 tests) under ['tests']; running with -j 32
[  0.0% |     3/~31960 | ✓3 | ✗0] ✓ tests\acp\test_auth.py (3✓, 12.9s)
  ║ 
  ║ ================================== FAILURES ===================================
  ║ _____________________ test_run_gate_fail_captures_output ______________________
  ║ 
  ║     def test_run_gate_fail_captures_output():
  ║         passed, code, out = run_gate(GoalGate(command="echo broken >&2; exit 3"))
  ║ >       assert passed is False
  ║ E       assert True is False
  ║ 
  ║ tests\hermes_cli\test_goal_gates.py:69: AssertionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/hermes_cli/test_goal_gates.py::test_run_gate_fail_captures_output
  ║ ======================== 1 failed, 17 passed in 45.47s ========================
  ║
  ║  Repro: python -m pytest tests\hermes_cli\test_goal_gates.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 44.4% | 14200/~31960 | ✓15628 | ✗   50] ✓ tests\hermes_cli\test_managed_scope_regression.py (3✓, 11.9s)
[ 44.5% | 14214/~31960 | ✓15638 | ✗   53] ✗ tests\hermes_cli\test_linux_desktop_entry.py (10✓ 3✗ 1s, 28.1s)

  ╔╍ Failed: tests\hermes_cli\test_linux_desktop_entry.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ ____________________ test_exec_arg_quoting_handles_spaces _____________________
  ║ 
  ║ tmp_path = WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25105/test_exec_arg_quoting_handles_0')
  ║ xdg_home = WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25105/test_exec_arg_quoting_handles_0/xdg-data')
  ║ monkeypatch = <_pytest.monkeypatch.MonkeyPatch object at 0x00000223A72F6190>
  ║ 
  ║     def test_exec_arg_quoting_handles_spaces(tmp_path, xdg_home, monkeypatch):
  ║         root = _make_project(tmp_path)
  ║         spaced = tmp_path / "my apps" / "hermes"
  ║         spaced.parent.mkdir()
  ║         spaced.write_text("", encoding="utf-8")
  ║         monkeypatch.setattr("hermes_cli.relaunch.resolve_hermes_bin", lambda: str(spaced))
  ║         monkeypatch.setattr(lde, "refresh_desktop_databases", lambda _dir: [])
  ║     
  ║         entry = lde.install_desktop_entry(root)
  ║         exec_line = _parse(entry.read_text(encoding="utf-8"))["Exec"]
  ║     
  ║ >       assert exec_line == f'"{spaced}" desktop'
  ║ E       assert '"C:\\\\Users...rmes" desktop' == '"C:\\Users\\...rmes" desktop'
  ║ E         
  ║ E         - "C:\Users\given\AppData\Local\Temp\pytest-of-unknown\pytest-25105\test_exec_arg_quoting_handles_0\my apps\hermes" desktop
  ║ E         + "C:\\Users\\given\\AppData\\Local\\Temp\\pytest-of-unknown\\pytest-25105\\test_exec_arg_quoting_handles_0\\my apps\\hermes" desktop
  ║ E         ?    +       +     +         +      +    +                   +            +                                 +       +
  ║ 
  ║ tests\hermes_cli\test_linux_desktop_entry.py:218: AssertionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/hermes_cli/test_linux_desktop_entry.py::test_installed_entry_is_executable
  ║ FAILED tests/hermes_cli/test_linux_desktop_entry.py::test_exec_falls_back_to_interpreter_module
  ║ FAILED tests/hermes_cli/test_linux_desktop_entry.py::test_exec_arg_quoting_handles_spaces
  ║ ================== 3 failed, 10 passed, 1 skipped in 12.73s ===================
  ║
  ║  Repro: python -m pytest tests\hermes_cli\test_linux_desktop_entry.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 44.5% | 14216/~31960 | ✓15640 | ✗   53] ✓ tests\hermes_cli\test_managed_scope_surfacing.py (2✓, 11.9s)
[ 44.5% | 14231/~31960 | ✓15657 | ✗   53] ✓ tests\hermes_cli\test_managed_nodes.py (17✓, 20.5s)
[ 44.5% | 14233/~31960 | ✓15659 | ✗   53] ✓ tests\hermes_cli\test_managed_scope_writeguard.py (2✓, 11.3s)
[ 44.5% | 14235/~31960 | ✓15661 | ✗   53] ✓ tests\hermes_cli\test_mcp_add_command_dest.py (2✓, 11.8s)
[ 44.6% | 14252/~31960 | ✓15680 | ✗   53] ✓ tests\hermes_cli\test_kanban_review_lifecycle.py (19✓, 59.4s)
[ 44.6% | 14256/~31960 | ✓15684 | ✗   53] ✓ tests\hermes_cli\test_mcp_reload_confirm_gate.py (4✓, 13.6s)
[ 44.6% | 14258/~31960 | ✓15686 | ✗   53] ✓ tests\hermes_cli\test_mcp_tools_config.py (2✓, 12.8s)
[ 44.6% | 14261/~31960 | ✓15689 | ✗   53] ✓ tests\hermes_cli\test_mcp_startup.py (3✓, 13.6s)
[ 44.6% | 14265/~31960 | ✓15693 | ✗   53] ✓ tests\hermes_cli\test_mcp_dashboard_oauth.py (4✓, 17.0s)
[ 44.6% | 14268/~31960 | ✓15696 | ✗   53] ✓ tests\hermes_cli\test_memory_reset.py (3✓, 13.0s)
[ 44.7% | 14291/~31960 | ✓15722 | ✗   53] ✓ tests\hermes_cli\test_kanban_notify.py (26✓, 67.1s)
[ 44.7% | 14294/~31960 | ✓15725 | ✗   53] ✓ tests\hermes_cli\test_memory_setup.py (3✓, 13.3s)
[ 44.7% | 14296/~31960 | ✓15727 | ✗   53] ✓ tests\hermes_cli\test_memory_status.py (2✓, 12.5s)
[ 44.8% | 14308/~31960 | ✓15739 | ✗   53] ✓ tests\hermes_cli\test_mem_trim.py (12✓, 16.4s)
[ 44.8% | 14313/~31960 | ✓15744 | ✗   53] ✓ tests\hermes_cli\test_memory_setup_provider_arg.py (5✓, 14.3s)
[ 44.8% | 14314/~31960 | ✓15745 | ✗   53] ✓ tests\hermes_cli\test_memory_status_env_hint.py (1✓, 13.9s)
[ 44.8% | 14330/~31960 | ✓15767 | ✗   53] ✓ tests\hermes_cli\test_kanban_review_lifecycle_complete.py (22✓, 68.4s)
[ 44.9% | 14336/~31960 | ✓15773 | ✗   53] ✓ tests\hermes_cli\test_moa_config.py (6✓, 13.1s)
[ 44.9% | 14343/~31960 | ✓15780 | ✗   53] ✓ tests\hermes_cli\test_mobile_console.py (7✓, 8.4s)
[ 45.0% | 14368/~31960 | ✓15805 | ✗   53] ✓ tests\hermes_cli\test_mcp_catalog.py (25✓, 24.9s)
[ 45.0% | 14372/~31960 | ✓15809 | ✗   53] ✓ tests\hermes_cli\test_mcp_security.py (4✓, 21.8s)
[ 45.0% | 14386/~31960 | ✓15821 | ✗   53] ✓ tests\hermes_cli\test_migrate_xai.py (12✓ 2s, 16.0s)
[ 45.1% | 14398/~31960 | ✓15833 | ✗   53] ✓ tests\hermes_cli\test_mcp_discovery_timing.py (12✓, 24.3s)
[ 45.1% | 14399/~31960 | ✓15834 | ✗   53] ✓ tests\hermes_cli\test_moa_set_models_preserves_extra_keys.py (1✓, 13.5s)
[ 45.1% | 14408/~31960 | ✓15858 | ✗   53] ✓ tests\hermes_cli\test_meta_prompt_cache.py (24✓, 21.0s)
[ 45.1% | 14418/~31960 | ✓15870 | ✗   53] ✓ tests\hermes_cli\test_model_cache_swr.py (12✓, 13.1s)
[ 45.2% | 14456/~31960 | ✓15908 | ✗   53] ✓ tests\hermes_cli\test_mcp_config.py (38✓, 30.9s)
[ 45.2% | 14461/~31960 | ✓15913 | ✗   53] ✓ tests\hermes_cli\test_model_data_policy_guard.py (5✓, 13.1s)
[ 45.3% | 14463/~31960 | ✓15915 | ✗   53] ✓ tests\hermes_cli\test_model_flow_pooled_credentials.py (2✓, 12.1s)
[ 45.3% | 14472/~31960 | ✓15926 | ✗   53] ✓ tests\hermes_cli\test_model_cost_guard.py (11✓, 13.9s)
[ 45.3% | 14474/~31960 | ✓15928 | ✗   53] ✓ tests\hermes_cli\test_model_picker_excluded_providers.py (2✓, 13.7s)
[ 45.3% | 14475/~31960 | ✓15929 | ✗   53] ✓ tests\hermes_cli\test_model_picker_expensive_confirm.py (1✓, 13.0s)
[ 45.3% | 14477/~31960 | ✓15931 | ✗   53] ✓ tests\hermes_cli\test_model_search.py (2✓, 12.4s)
[ 45.3% | 14488/~31960 | ✓15954 | ✗   53] ✓ tests\hermes_cli\test_model_normalize.py (23✓, 16.0s)
[ 45.3% | 14491/~31960 | ✓15957 | ✗   53] ✓ tests\hermes_cli\test_model_picker_viewport.py (3✓, 13.2s)
[ 45.3% | 14493/~31960 | ✓15959 | ✗   53] ✓ tests\hermes_cli\test_model_search_alias_dedup.py (2✓, 13.3s)
[ 45.4% | 14501/~31960 | ✓15967 | ✗   53] ✓ tests\hermes_cli\test_model_selection_guards.py (8✓, 14.0s)
[ 45.4% | 14503/~31960 | ✓15969 | ✗   53] ✓ tests\hermes_cli\test_model_switch_confirm_thread.py (2✓, 12.9s)
[ 45.4% | 14506/~31960 | ✓15972 | ✗   53] ✓ tests\hermes_cli\test_model_switch_context_display.py (3✓, 12.0s)
[ 45.4% | 14512/~31960 | ✓15978 | ✗   53] ✓ tests\hermes_cli\test_model_picker_secret_scope.py (6✓, 17.2s)
[ 45.4% | 14514/~31960 | ✓15980 | ✗   53] ✓ tests\hermes_cli\test_model_switch_configured_provider_routing.py (2✓, 15.8s)
[ 45.4% | 14515/~31960 | ✓15981 | ✗   53] ✓ tests\hermes_cli\test_model_switch_once_flags.py (1✓, 10.6s)
[ 45.4% | 14518/~31960 | ✓15984 | ✗   53] ✓ tests\hermes_cli\test_model_switch_context_offload.py (3✓, 12.9s)
[ 45.5% | 14552/~31960 | ✓16024 | ✗   54] ✗ tests\hermes_cli\test_dashboard_admin_endpoints.py (40✓ 1✗, 191.8s)

  ╔╍ Failed: tests\hermes_cli\test_dashboard_admin_endpoints.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0
  ║ rootdir: C:\Users\given\hermes-audit\hermes-agent
  ║ configfile: pyproject.toml
  ║ plugins: anyio-4.12.1, asyncio-1.3.0
  ║ asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
  ║ collected 41 items
  ║ 
  ║ tests\hermes_cli\test_dashboard_admin_endpoints.py ..................... [ 51%]
  ║ ..F.................                                                     [100%]
  ║ 
  ║ ================================== FAILURES ===================================
  ║ __________________ TestSystemStatsEndpoint.test_stats_shape ___________________
  ║ 
  ║ self = <tests.hermes_cli.test_dashboard_admin_endpoints.TestSystemStatsEndpoint object at 0x0000020FF6644310>
  ║ 
  ║     def test_stats_shape(self):
  ║         r = self.client.get("/api/system/stats")
  ║         assert r.status_code == 200
  ║         s = r.json()
  ║         # Identity fields always present (stdlib-sourced).
  ║         for key in ("os", "arch", "hostname", "python_version", "hermes_version"):
  ║ >           assert key in s and s[key]
  ║ E           AssertionError: assert ('arch' in {'os': 'Windows', 'os_release': '10', 'os_version': '10.0.19045', 'platform': 'Windows-10-10.0.19045-SP0', ...} and '')
  ║ 
  ║ tests\hermes_cli\test_dashboard_admin_endpoints.py:479: AssertionError
  ║ ------------------------------ Captured log call ------------------------------
  ║ INFO     httpx2:_client.py:1090 HTTP Request: GET http://testserver/api/system/stats "HTTP/1.1 200 OK"
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/hermes_cli/test_dashboard_admin_endpoints.py::TestSystemStatsEndpoint::test_stats_shape
  ║ =================== 1 failed, 40 passed in 88.83s (0:01:28) ===================
  ║
  ║  Repro: python -m pytest tests\hermes_cli\test_dashboard_admin_endpoints.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 45.6% | 14558/~31960 | ✓16030 | ✗   54] ✓ tests\hermes_cli\test_model_provider_persistence.py (6✓, 19.5s)
[ 45.6% | 14562/~31960 | ✓16034 | ✗   54] ✓ tests\hermes_cli\test_model_switch_openai_api_mode.py (4✓, 14.3s)
[ 45.6% | 14565/~31960 | ✓16042 | ✗   54] ✓ tests\hermes_cli\test_model_switch_parsing.py (8✓, 11.5s)
[ 45.6% | 14567/~31960 | ✓16044 | ✗   54] ✓ tests\hermes_cli\test_model_switch_filter_unresolved.py (2✓, 16.5s)
[ 45.6% | 14571/~31960 | ✓16048 | ✗   54] ✓ tests\hermes_cli\test_model_switch_persist_default.py (4✓, 12.5s)
[ 45.6% | 14572/~31960 | ✓16049 | ✗   54] ✓ tests\hermes_cli\test_model_switch_copilot_api_mode.py (1✓, 21.3s)
[ 45.6% | 14579/~31960 | ✓16056 | ✗   54] ✓ tests\hermes_cli\test_non_ascii_credential.py (7✓, 13.5s)
[ 45.7% | 14608/~31960 | ✓16085 | ✗   54] ✓ tests\hermes_cli\test_model_validation.py (29✓, 16.9s)
[ 45.7% | 14612/~31960 | ✓16089 | ✗   54] ✓ tests\hermes_cli\test_model_switch_opencode_anthropic.py (4✓, 19.5s)
[ 45.7% | 14614/~31960 | ✓16091 | ✗   54] ✓ tests\hermes_cli\test_nous_auth_status_cache.py (2✓, 12.0s)
[ 45.7% | 14616/~31960 | ✓16093 | ✗   54] ✓ tests\hermes_cli\test_nous_auth_keepalive.py (2✓, 12.5s)
[ 45.7% | 14621/~31960 | ✓16101 | ✗   54] ✓ tests\hermes_cli\test_nous_account.py (8✓, 13.1s)
[ 45.8% | 14626/~31960 | ✓16106 | ✗   54] ✓ tests\hermes_cli\test_nous_billing_request.py (5✓, 12.0s)
[ 45.8% | 14628/~31960 | ✓16110 | ✗   54] ✓ tests\hermes_cli\test_model_switch_variant_tags.py (4✓, 18.8s)
[ 45.8% | 14633/~31960 | ✓16115 | ✗   54] ✓ tests\hermes_cli\test_models_dev_preferred_merge.py (5✓, 18.6s)
[ 45.8% | 14634/~31960 | ✓16126 | ✗   54] ✓ tests\hermes_cli\test_nous_hermes_non_agentic.py (11✓, 14.2s)
[ 45.8% | 14636/~31960 | ✓16128 | ✗   54] ✓ tests\hermes_cli\test_normalize_main_model_assignment.py (2✓, 18.5s)
[ 45.8% | 14638/~31960 | ✓16130 | ✗   54] ✓ tests\hermes_cli\test_nous_session_validity.py (2✓, 10.5s)
[ 45.8% | 14643/~31960 | ✓16135 | ✗   54] ✓ tests\hermes_cli\test_noninteractive_git.py (5✓, 20.2s)
[ 45.9% | 14655/~31960 | ✓16147 | ✗   54] ✓ tests\hermes_cli\test_model_cache_parallel_prefetch.py (12✓, 42.8s)
[ 45.9% | 14670/~31960 | ✓16166 | ✗   56] ✗ tests\hermes_cli\test_kanban_boards.py (19✓ 2✗, 131.9s)

  ╔╍ Failed: tests\hermes_cli\test_kanban_boards.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║ 
  ║ tests\hermes_cli\test_kanban_boards.py:161: 
  ║ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
  ║ hermes_cli\kanban_db.py:1060: in remove_board
  ║     safe_rmtree(d, boards_root())
  ║ hermes_cli\safe_delete.py:269: in safe_rmtree
  ║     _rmtree_bounded(target, onerror, boundary_root=Path(matching_root))
  ║ hermes_cli\safe_delete.py:200: in _rmtree_bounded
  ║     remove_path(child)
  ║ hermes_cli\safe_delete.py:166: in remove_path
  ║     path.unlink()
  ║ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
  ║ 
  ║ self = WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25108/test_remove_clears_init_cache_1/hermes_home/kanban/boards/recycle/kanban.db')
  ║ missing_ok = False
  ║ 
  ║     def unlink(self, missing_ok=False):
  ║         """
  ║         Remove this file or link.
  ║         If the path is a directory, use rmdir() instead.
  ║         """
  ║         try:
  ║ >           os.unlink(self)
  ║ E           PermissionError: [WinError 32] 另一个程序正在使用此文件，进程无法访问。: 'C:\\Users\\given\\AppData\\Local\\Temp\\pytest-of-unknown\\pytest-25108\\test_remove_clears_init_cache_1\\hermes_home\\kanban\\boards\\recycle\\kanban.db'
  ║ 
  ║ ..\..\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:1147: PermissionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/hermes_cli/test_kanban_boards.py::TestBoardCRUD::test_remove_clears_init_cache_for_recreated_db[True]
  ║ FAILED tests/hermes_cli/test_kanban_boards.py::TestBoardCRUD::test_remove_clears_init_cache_for_recreated_db[False]
  ║ =================== 2 failed, 19 passed in 64.13s (0:01:04) ===================
  ║
  ║  Repro: python -m pytest tests\hermes_cli\test_kanban_boards.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 45.9% | 14680/~31960 | ✓16176 | ✗   56] ✓ tests\hermes_cli\test_nous_subscription.py (10✓, 14.7s)
[ 45.9% | 14682/~31960 | ✓16195 | ✗   56] ✓ tests\hermes_cli\test_official_openai_host.py (19✓, 11.3s)
[ 46.0% | 14686/~31960 | ✓16199 | ✗   56] ✓ tests\hermes_cli\test_nous_portal_staging_allowlist.py (4✓, 19.8s)
[ 46.0% | 14697/~31960 | ✓16210 | ✗   56] ✓ tests\hermes_cli\test_kanban_worktree_teardown.py (11✓, 98.2s)
[ 46.0% | 14700/~31960 | ✓16213 | ✗   56] ✓ tests\hermes_cli\test_oneshot_usage_file.py (3✓, 15.0s)
[ 46.0% | 14701/~31960 | ✓16214 | ✗   56] ✓ tests\hermes_cli\test_oneshot_surrogate.py (1✓, 15.5s)
[ 46.0% | 14709/~31960 | ✓16224 | ✗   56] ✓ tests\hermes_cli\test_openai_discovery_endpoint.py (10✓, 15.9s)
[ 46.0% | 14712/~31960 | ✓16229 | ✗   56] ✓ tests\hermes_cli\test_openai_listing_authority.py (5✓, 15.7s)
[ 46.2% | 14769/~31960 | ✓16292 | ✗   56] ✓ tests\hermes_cli\test_managed_installations.py (63✓, 84.5s)
[ 46.2% | 14772/~31960 | ✓16295 | ✗   56] ✓ tests\hermes_cli\test_openai_picker_curated.py (3✓, 14.4s)
[ 46.2% | 14774/~31960 | ✓16297 | ✗   56] ✓ tests\hermes_cli\test_openai_codex_model_validation_fallback.py (2✓, 18.1s)
[ 46.3% | 14784/~31960 | ✓16307 | ✗   56] ✓ tests\hermes_cli\test_nous_inference_url_validation.py (10✓, 26.7s)
[ 46.3% | 14804/~31960 | ✓16327 | ✗   56] ✓ tests\hermes_cli\test_ollama_cloud_auth.py (20✓, 19.5s)
[ 46.3% | 14812/~31960 | ✓16335 | ✗   56] ✓ tests\hermes_cli\test_orphan_desktop_serve_reap.py (8✓, 12.5s)
[ 46.3% | 14813/~31960 | ✓16336 | ✗   56] ✓ tests\hermes_cli\test_pairing.py (1✓, 11.8s)
[ 46.4% | 14815/~31960 | ✓16338 | ✗   56] ✓ tests\hermes_cli\test_opencode_go_validation_fallback.py (2✓, 17.6s)
[ 46.4% | 14816/~31960 | ✓16339 | ✗   56] ✓ tests\hermes_cli\test_opencode_zen_model_limit.py (1✓, 17.8s)
[ 46.4% | 14818/~31960 | ✓16341 | ✗   56] ✓ tests\hermes_cli\test_opencode_go_flat_namespace.py (2✓, 20.0s)
[ 46.4% | 14826/~31960 | ✓16349 | ✗   56] ✓ tests\hermes_cli\test_path_completion.py (8✓, 12.7s)
[ 46.4% | 14836/~31960 | ✓16359 | ✗   56] ✓ tests\hermes_cli\test_peer_cmd.py (10✓, 11.2s)
[ 46.4% | 14839/~31960 | ✓16362 | ✗   56] ✓ tests\hermes_cli\test_pet_toggle.py (3✓, 10.8s)
[ 46.6% | 14902/~31960 | ✓16425 | ✗   56] ✓ tests\hermes_cli\test_loops.py (63✓, 99.5s)
[ 46.6% | 14904/~31960 | ✓16427 | ✗   56] ✓ tests\hermes_cli\test_pin_kanban_board_env.py (2✓, 12.4s)
[ 46.6% | 14907/~31960 | ✓16430 | ✗   56] ✓ tests\hermes_cli\test_pip_install_detection.py (3✓, 12.7s)
[ 46.7% | 14925/~31960 | ✓16448 | ✗   56] ✓ tests\hermes_cli\test_personality_single_owner.py (18✓, 14.7s)
[ 46.7% | 14927/~31960 | ✓16450 | ✗   56] ✓ tests\hermes_cli\test_placeholder_usage.py (2✓, 12.5s)
[ 46.7% | 14928/~31960 | ✓16451 | ✗   56] ✓ tests\hermes_cli\test_plugin_api_compat.py (1✓, 12.4s)
[ 46.7% | 14931/~31960 | ✓16454 | ✗   56] ✓ tests\hermes_cli\test_plugin_auxiliary_tasks.py (3✓, 12.4s)
[ 46.8% | 14950/~31960 | ✓16473 | ✗   56] ✓ tests\hermes_cli\test_model_catalog.py (19✓, 71.1s)
[ 46.8% | 14955/~31960 | ✓16478 | ✗   56] ✓ tests\hermes_cli\test_plugin_cli_registration.py (5✓, 13.9s)
[ 46.9% | 14977/~31960 | ✓16503 | ✗   56] ✓ tests\hermes_cli\test_platform_actions.py (25✓, 17.3s)
[ 46.9% | 14989/~31960 | ✓16515 | ✗   56] ✓ tests\hermes_cli\test_plugin_call_mcp.py (12✓, 14.8s)
[ 46.9% | 14994/~31960 | ✓16520 | ✗   56] ✓ tests\hermes_cli\test_plugin_dev.py (5✓, 14.4s)
[ 47.0% | 15018/~31960 | ✓16549 | ✗   56] ✓ tests\hermes_cli\test_plugin_event_bus.py (29✓, 17.1s)
[ 47.0% | 15021/~31960 | ✓16552 | ✗   56] ✓ tests\hermes_cli\test_plugin_prompt_sections.py (3✓, 12.0s)
[ 47.0% | 15023/~31960 | ✓16554 | ✗   56] ✓ tests\hermes_cli\test_overlay_slug_resolution.py (2✓, 33.2s)
[ 47.0% | 15033/~31960 | ✓16564 | ✗   56] ✓ tests\hermes_cli\test_plugin_message_injection.py (10✓, 15.8s)
[ 47.2% | 15071/~31960 | ✓16602 | ✗   56] ✓ tests\hermes_cli\test_plugin_index_search.py (38✓, 21.1s)
[ 47.2% | 15073/~31960 | ✓16604 | ✗   56] ✓ tests\hermes_cli\test_opencode_go_in_model_list.py (2✓, 42.4s)
[ 47.2% | 15076/~31960 | ✓16607 | ✗   56] ✓ tests\hermes_cli\test_picker_prewarm.py (3✓, 30.1s)
[ 47.3% | 15117/~31960 | ✓16629 | ✗   63] ✗ tests\hermes_cli\test_managed_uv.py (22✓ 7✗ 12s, 102.1s)

  ╔╍ Failed: tests\hermes_cli\test_managed_uv.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║                    % (self._mock_name or 'mock',
  ║                       self.call_count,
  ║                       self._calls_repr()))
  ║ >           raise AssertionError(msg)
  ║ E           AssertionError: Expected '_install_uv_posix' to have been called once. Called 0 times.
  ║ 
  ║ ..\..\AppData\Local\Programs\Python\Python311\Lib\unittest\mock.py:918: AssertionError
  ║ _____________ TestDefaultLiveVenv.test_dot_venv_only_is_targeted ______________
  ║ 
  ║ self = <tests.hermes_cli.test_managed_uv.TestDefaultLiveVenv object at 0x0000020820929F10>
  ║ tmp_path = WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25158/test_dot_venv_only_is_targeted0')
  ║ 
  ║     def test_dot_venv_only_is_targeted(self, tmp_path):
  ║         from hermes_cli.managed_uv import _default_live_venv
  ║     
  ║         root = self._checkout(tmp_path, ".venv")
  ║ >       assert _default_live_venv(root) == root / ".venv"
  ║ E       AssertionError: assert WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25158/test_dot_venv_only_is_targeted0/checkout/venv') == (WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25158/test_dot_venv_only_is_targeted0/checkout') / '.venv')
  ║ E        +  where WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25158/test_dot_venv_only_is_targeted0/checkout/venv') = <function _default_live_venv at 0x0000020821115F80>(WindowsPath('C:/Users/given/AppData/Local/Temp/pytest-of-unknown/pytest-25158/test_dot_venv_only_is_targeted0/checkout'))
  ║ 
  ║ tests\hermes_cli\test_managed_uv.py:1197: AssertionError
  ║ =========================== short test summary info ===========================
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestResolveUv::test_existing_executable
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestEnsureUv::test_installs_if_missing
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestEnsureUv::test_install_reports_runtime_repair_to_observer
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestUpdateManagedUv::test_fresh_stamp_skips_network_self_update_but_not_repair
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestUpdateManagedUv::test_stale_stamp_runs_self_update_and_refreshes_stamp
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestInstallUvInternals::test_posix_sets_uv_unmanaged_install
  ║ FAILED tests/hermes_cli/test_managed_uv.py::TestDefaultLiveVenv::test_dot_venv_only_is_targeted
  ║ ============= 7 failed, 22 passed, 12 skipped in 61.43s (0:01:01) =============
  ║
  ║  Repro: python -m pytest tests\hermes_cli\test_managed_uv.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 47.3% | 15121/~31960 | ✓16633 | ✗   63] ✓ tests\hermes_cli\test_plugins_cmd_list.py (4✓, 10.2s)
[ 47.5% | 15172/~31960 | ✓16684 | ✗   63] ✓ tests\hermes_cli\test_ios_intelligence_scheduler.py (51✓, 180.4s)
[ 47.5% | 15178/~31960 | ✓16689 | ✗   63] ✓ tests\hermes_cli\test_plugin_runtime_disable_gate.py (5✓, 17.6s)
[ 47.5% | 15187/~31960 | ✓16698 | ✗   63] ✓ tests\hermes_cli\test_plugins_cmd_enable_disable_nested.py (9✓, 16.0s)
[ 47.6% | 15212/~31960 | ✓16734 | ✗   63] ✓ tests\hermes_cli\test_plugin_packs.py (36✓, 22.4s)
[ 47.7% | 15251/~31960 | ✓16773 | ✗   63] ✓ tests\hermes_cli\test_plugin_capabilities.py (39✓, 31.7s)
[ 47.8% | 15264/~31960 | ✓16786 | ✗   63] ✓ tests\hermes_cli\test_plugins_cmd_category_discovery.py (13✓, 17.7s)
